mid,class_name,folder_name
LabelName,DisplayName,displayname
/m/0mkg,Accordion,accordion
/m/03m3vtv,Adhesive tape,adhesive_tape
/m/0k5j,Aircraft,aircraft
/m/046dlr,Alarm clock,alarm_clock
/m/0pcr,Alpaca,alpaca
/m/012n7d,Ambulance,ambulance
/m/0jbk,Animal,animal
/m/0_k2,Ant,ant
/m/0czz2,Antelope,antelope
/m/014j1m,Apple,apple
/m/0xfy,Armadillo,armadillo
/m/047v4b,Artichoke,artichoke
/m/08dz3q,Auto part,auto_part
/m/0c2jj,Axe,axe
/m/01940j,Backpack,backpack
/m/01fb_0,Bagel,bagel
/m/052lwg6,Baked goods,baked_goods
/m/0l3ms,Balance beam,balance_beam
/m/018xm,Ball (Object),ball_object
/m/01j51,Balloon,balloon
/m/09qck,Banana,banana
/m/0j496,Band-aid,band_aid
/m/018j2,Banjo,banjo
/m/01btn,Barge,barge
/m/02zn6n,Barrel,barrel
/m/03g8mr,Baseball bat,baseball_bat
/m/03grzl,Baseball glove,baseball_glove
/m/01h44,Bat (Animal),bat_animal
/m/0h8nr_l,Bathroom accessory,bathroom_accessory
/m/04y4h8h,Bathroom cabinet,bathroom_cabinet
/m/03dnzn,Bathtub,bathtub
/m/0d20w4,Beaker,beaker
/m/01dws,Bear,bear
/m/015h_t,Beard,beard
/m/03ssj5,Bed,bed
/m/01h3n,Bee,bee
/m/01gllr,Beehive,beehive
/m/01599,Beer,beer
/m/020jm,Beetle,beetle
/m/0jg57,Bell pepper,bell_pepper
/m/0176mf,Belt,belt
/m/0cvnqh,Bench,bench
/m/0199g,Bicycle,bicycle
/m/03p3bw,Bicycle helmet,bicycle_helmet
/m/01bqk0,Bicycle wheel,bicycle_wheel
/m/01vbnl,Bidet,bidet
/m/01knjb,Billboard,billboard
/m/04p0qw,Billiard table,billiard_table
/m/0lt4_,Binoculars,binoculars
/m/015p6,Bird,bird
/m/02pjr4,Blender,blender
/m/01f8m5,Blue jay,blue_jay
/m/019jd,Boat,boat
/m/0ct4f,Bomb,bomb
/m/0bt_c3,Book,book
/m/03__z0,Bookcase,bookcase
/m/01b638,Boot,boot
/m/04dr76w,Bottle,bottle
/m/04f5ws,Bottle opener,bottle_opener
/m/01g3x7,Bow and arrow,bow_and_arrow
/m/04kkgm,Bowl,bowl
/m/07pj7bq,Bowling equipment,bowling_equipment
/m/025dyy,Box,box
/m/01bl7v,Boy,boy
/m/01gmv2,Brassiere,brassiere
/m/09728,Bread,bread
/m/0584n8,Briefcase,briefcase
/m/0hkxq,Broccoli,broccoli
/m/01yx86,Bronze sculpture,bronze_sculpture
/m/01dxs,Brown bear,brown_bear
/m/0cgh4,Building,building
/m/0cnyhnx,Bull,bull
/m/01j3zr,Burrito,burrito
/m/01bjv,Bus,bus
/m/04yqq2,Bust,bust
/m/0cyf8,Butterfly,butterfly
/m/0fbw6,Cabbage,cabbage
/m/01s105,Cabinetry,cabinetry
/m/0fszt,Cake,cake
/m/0h8n6ft,Cake stand,cake_stand
/m/024d2,Calculator,calculator
/m/01x_v,Camel,camel
/m/0dv5r,Camera,camera
/m/02mqfb,Can opener,can_opener
/m/0ccs93,Canary,canary
/m/0c06p,Candle,candle
/m/0gm28,Candy,candy
/m/020kz,Cannon,cannon
/m/0ph39,Canoe,canoe
/m/0kpt_,Cantaloupe,cantaloupe
/m/0k4j,Car,car
/m/01lrl,Carnivore,carnivore
/m/0fj52s,Carrot,carrot
/m/018p4k,Cart,cart
