folder,class,image_id,download_url,original_url,license,author,title
apple,Apple,078821d86db99fc9,https://c4.staticflickr.com/8/7261/8154112499_6fa549b657_z.jpg,https://c2.staticflickr.com/8/7261/8154112499_cd0d5a31d0_o.jpg,https://creativecommons.org/licenses/by/2.0/,Matleena Laakso,Omenapuu Åkerö
apple,Apple,09a06df60e4bdd62,https://c8.staticflickr.com/8/7501/15280859413_007f60333c_z.jpg,https://farm3.staticflickr.com/7501/15280859413_206d246aea_o.jpg,https://creativecommons.org/licenses/by/2.0/,Senado Federal,Fotos produzidas pelo Senado
apple,Apple,105433f9d808d18e,https://c8.staticflickr.com/7/6010/5880502739_a4085c1917_z.jpg,https://c7.staticflickr.com/7/6010/5880502739_f266613b73_o.jpg,https://creativecommons.org/licenses/by/2.0/,nachans,0133
apple,Apple,22cf78f0eb8e7f25,https://c2.staticflickr.com/9/8380/8533651348_b93c9920da_z.jpg,https://farm6.staticflickr.com/8380/8533651348_22012a78b3_o.jpg,https://creativecommons.org/licenses/by/2.0/,jodelli,Winter break
apple,Apple,275f429194a6683a,https://c7.staticflickr.com/3/2386/2195708014_c5a2b96cb5_z.jpg,https://c3.staticflickr.com/3/2386/2195708014_5a7dc31161_o.jpg,https://creativecommons.org/licenses/by/2.0/,Christopher Paquette,Green Apples
apple,Apple,2fe4f21e409f0a56,https://c8.staticflickr.com/6/5164/5375520288_37c795017e_z.jpg,https://farm7.staticflickr.com/5164/5375520288_452b34c962_o.jpg,https://creativecommons.org/licenses/by/2.0/,Herman Frantzen,Hey Apple
backpack,Backpack,159c27c3fcf6e267,https://c5.staticflickr.com/8/7102/7154587237_dbd93d6819_z.jpg,https://farm8.staticflickr.com/7102/7154587237_bab66c3082_o.jpg,https://creativecommons.org/licenses/by/2.0/,j bizzie,luggage advice?! want a rollable carry on. Gravis Jetway looked best after quick research. I keep my gear in a separate padded bag.
backpack,Backpack,19a0aafe6ab92d0e,https://c4.staticflickr.com/5/4003/4450773081_6eee090bb0_z.jpg?zz=1,https://c7.staticflickr.com/5/4003/4450773081_f1866dc83a_o.jpg,https://creativecommons.org/licenses/by/2.0/,Richard Child,Carradice Super C saddle bag + SQR mount - SOLD
backpack,Backpack,1c6cef0118791af9,https://c2.staticflickr.com/9/8364/8332893057_42764acd27_z.jpg,https://c2.staticflickr.com/9/8364/8332893057_6eedaecdfd_o.jpg,https://creativecommons.org/licenses/by/2.0/,Luis Pérez,"Chocó, mañana les caigo!"
backpack,Backpack,2ab108bbaa221cd7,https://c4.staticflickr.com/9/8660/16095014865_64f19823a1_z.jpg,https://farm8.staticflickr.com/8660/16095014865_154d7aa8af_o.jpg,https://creativecommons.org/licenses/by/2.0/,Khairil Yusof,Chrome Mini Metro Night Organizer Pouches
